,country,year,sex,age,suicides_no,population,rate_per_100k
13546,Estonia,1989,male,55-74,66.0,108790.0,60.66734074823053
18259,Hungary,1984,male,25-34,525.0,865700.0,60.6445650918332
35995,Slovenia,1985,male,25-34,102.0,168400.0,60.57007125890737
18502,Hungary,2004,male,55-74,543.0,896983.0,60.53626434391733
21515,Kazakhstan,2003,male,75+,60.0,99171.0,60.501557915116315
36176,Slovenia,2000,male,35-54,180.0,297696.0,60.46436633344082
36116,Slovenia,1995,male,35-54,174.0,287800.0,60.45865184155664
18247,Hungary,1983,male,25-34,529.0,876300.0,60.36745406824147
18524,Hungary,2006,male,35-54,825.0,1366901.0,60.35550489757488
33056,Russian Federation,1988,male,35-54,10621.0,17597600.0,60.35482111196981
21479,Kazakhstan,2000,male,75+,47.0,77972.0,60.27804853024163
21572,Kazakhstan,2008,male,35-54,1178.0,1954893.0,60.259052541494604
33286,Russian Federation,2007,male,55-74,6151.0,10209479.0,60.24793233817318
37135,Sri Lanka,1996,male,25-34,918.0,1524411.0,60.219980044751715
33210,Russian Federation,2001,male,15-24,6945.0,11547645.0,60.14213287644364
18514,Hungary,2005,male,55-74,545.0,906718.0,60.106891006906224
13691,Estonia,2001,male,75+,12.0,19975.0,60.07509386733417
13471,Estonia,1982,male,25-34,69.0,114900.0,60.052219321148826
23135,Lithuania,1991,male,75+,33.0,54974.0,60.028377050969546
13495,Estonia,1985,male,25-34,71.0,118300.0,60.01690617075232
13651,Estonia,1998,male,25-34,55.0,91671.0,59.99716377043994
22795,Latvia,1997,male,25-34,108.0,180100.0,59.966685174902835
18526,Hungary,2006,male,55-74,550.0,917547.0,59.942433466623505
21550,Kazakhstan,2006,male,55-74,436.0,730464.0,59.68808866692952
36080,Slovenia,1992,male,35-54,169.0,283400.0,59.63302752293578
21584,Kazakhstan,2009,male,35-54,1181.0,1980466.0,59.63242994325579
37183,Sri Lanka,2000,male,25-34,873.0,1464384.0,59.61551068572177
22976,Latvia,2012,male,35-54,164.0,275218.0,59.58912571125435
22894,Latvia,2005,male,55-74,114.0,191534.0,59.51945868618626
41002,Ukraine,1981,male,55-74,1792.0,3011500.0,59.50522995185124
31475,Republic of Korea,1996,male,75+,166.0,279100.0,59.476890003582945
13714,Estonia,2003,male,55-74,69.0,116230.0,59.365052051965925
41266,Ukraine,2004,male,55-74,2260.0,3807447.0,59.35735940644742
13663,Estonia,1999,male,25-34,54.0,91164.0,59.23390812162696
36310,Slovenia,2011,male,55-74,132.0,222946.0,59.207162272478534
33296,Russian Federation,2008,male,35-54,11848.0,20041975.0,59.11593044098698
18365,Hungary,1993,female,75+,198.0,335159.0,59.07643834717254
41276,Ukraine,2005,male,35-54,3771.0,6387431.0,59.03781974318
18389,Hungary,1995,female,75+,202.0,342301.0,59.01238968042746
22807,Latvia,1998,male,25-34,105.0,178200.0,58.92255892255892
41038,Ukraine,1985,male,55-74,2065.0,3505500.0,58.90743117957496
33308,Russian Federation,2009,male,35-54,11721.0,19901557.0,58.89488948025524
13544,Estonia,1989,male,35-54,114.0,193887.0,58.797134413343855
21259,Kazakhstan,1981,male,25-34,686.0,1172500.0,58.507462686567166
22711,Latvia,1990,male,25-34,119.0,203600.0,58.447937131630646
13859,Estonia,2015,male,75+,20.0,34253.0,58.389046214930076
18548,Hungary,2008,male,35-54,794.0,1360689.0,58.352790387810884
36212,Slovenia,2003,male,35-54,184.0,315456.0,58.32826131061067
18211,Hungary,1980,male,25-34,494.0,847700.0,58.27533325468916
23003,Latvia,2014,male,75+,29.0,49779.0,58.2574981417867
33383,Russian Federation,2015,male,75+,1519.0,2608590.0,58.230691676346225
33044,Russian Federation,1987,male,35-54,10040.0,17245900.0,58.216735571933036
22666,Latvia,1986,male,55-74,101.0,173500.0,58.21325648414985
18536,Hungary,2007,male,35-54,791.0,1364796.0,57.95737971096047
23099,Lithuania,1988,male,75+,34.0,58700.0,57.921635434412266
21607,Kazakhstan,2011,male,25-34,778.0,1344771.0,57.853716357654946
18307,Hungary,1988,male,25-34,456.0,788500.0,57.83132530120482
33032,Russian Federation,1986,male,35-54,9815.0,16977100.0,57.81317186091854
22940,Latvia,2009,male,35-54,167.0,288988.0,57.787866624219696
37136,Sri Lanka,1996,male,35-54,1211.0,2095820.0,57.78167972440381
33198,Russian Federation,2000,male,15-24,6578.0,11393600.0,57.7341665496419
37100,Sri Lanka,1984,male,35-54,835.0,1447000.0,57.70559778852799
23143,Lithuania,1992,male,25-34,173.0,299836.0,57.698208353900135
21503,Kazakhstan,2002,male,75+,53.0,91887.0,57.67954117557435
41122,Ukraine,1992,male,55-74,2323.0,4028200.0,57.66843751551562
22955,Latvia,2010,male,75+,25.0,43667.0,57.25147136281402
18610,Hungary,2013,male,55-74,606.0,1058520.0,57.24974492687904
33319,Russian Federation,2010,male,25-34,6508.0,11398127.0,57.09710025164661
37104,Sri Lanka,1985,female,15-24,943.0,1652000.0,57.082324455205814
13724,Estonia,2004,male,35-54,104.0,182275.0,57.05664517898779
23190,Lithuania,1996,male,15-24,147.0,257675.0,57.04860774231105
13570,Estonia,1991,male,55-74,64.0,112270.0,57.0054333303643
18560,Hungary,2009,male,35-54,773.0,1356600.0,56.98068701164676
36238,Slovenia,2005,male,55-74,108.0,189607.0,56.959922365735444
23202,Lithuania,1997,male,15-24,144.0,252818.0,56.957969764811054
33222,Russian Federation,2002,male,15-24,6667.0,11714752.0,56.911149292789126
37124,Sri Lanka,1986,male,35-54,851.0,1495400.0,56.90785074227631
13534,Estonia,1988,male,55-74,61.0,107200.0,56.90298507462686
18223,Hungary,1981,male,25-34,496.0,871700.0,56.900309739589304
33091,Russian Federation,1991,male,25-34,6901.0,12157500.0,56.76331482623895
36188,Slovenia,2001,male,35-54,177.0,311844.0,56.75914880517181
41278,Ukraine,2005,male,55-74,2151.0,3793291.0,56.705377994991686
31546,Republic of Korea,2002,male,55-74,1648.0,2906720.0,56.696207409038365
22904,Latvia,2006,male,35-54,167.0,294935.0,56.62264566768949
13457,Estonia,1981,female,75+,29.0,51300.0,56.53021442495127
13627,Estonia,1996,male,25-34,53.0,93866.0,56.46346920077557
18622,Hungary,2014,male,55-74,600.0,1063532.0,56.41579190847102
23347,Lithuania,2009,male,25-34,116.0,205749.0,56.37937486937968
41108,Ukraine,1991,male,35-54,3634.0,6449100.0,56.348947915212975
33298,Russian Federation,2008,male,55-74,5855.0,10403205.0,56.2807327165042
21271,Kazakhstan,1982,male,25-34,680.0,1209400.0,56.226227881594184
23123,Lithuania,1990,male,75+,32.0,56992.0,56.14823133071308
21538,Kazakhstan,2005,male,55-74,402.0,716191.0,56.13027809620618
22954,Latvia,2010,male,55-74,105.0,187076.0,56.126921678889865
37112,Sri Lanka,1985,male,35-54,824.0,1469000.0,56.092579986385296
36262,Slovenia,2007,male,55-74,112.0,199979.0,56.00588061746483
18331,Hungary,1990,male,25-34,385.0,688003.0,55.95905831805966
13678,Estonia,2000,male,55-74,66.0,118085.0,55.89194224499302
18355,Hungary,1992,male,25-34,364.0,651345.0,55.88436235789021
21344,Kazakhstan,1989,male,35-54,940.0,1682200.0,55.879205801926055
18572,Hungary,2010,male,35-54,760.0,1360114.0,55.87766907773908
21635,Kazakhstan,2013,male,75+,78.0,140008.0,55.71110222273013
23359,Lithuania,2010,male,25-34,110.0,198028.0,55.547700325206534
41084,Ukraine,1989,male,35-54,3547.0,6392000.0,55.49123904881101
13786,Estonia,2009,male,55-74,66.0,118960.0,55.480833893745796
41096,Ukraine,1990,male,35-54,3570.0,6444100.0,55.39951273257709
21391,Kazakhstan,1993,male,25-34,772.0,1395600.0,55.31670965892806
13727,Estonia,2004,male,75+,13.0,23510.0,55.2956188855806
21346,Kazakhstan,1989,male,55-74,378.0,684100.0,55.25507966671539
36286,Slovenia,2009,male,55-74,117.0,211765.0,55.24992326399547
23098,Lithuania,1988,male,55-74,132.0,239200.0,55.18394648829432
18235,Hungary,1982,male,25-34,486.0,880900.0,55.17084799636736
21562,Kazakhstan,2007,male,55-74,412.0,747545.0,55.11373897223578
33079,Russian Federation,1990,male,25-34,6868.0,12477900.0,55.0413130414573
22928,Latvia,2008,male,35-54,161.0,292840.0,54.97882802895779
18343,Hungary,1991,male,25-34,364.0,663374.0,54.8710079080579
21596,Kazakhstan,2010,male,35-54,1118.0,2037599.0,54.86849964099903
37044,Sri Lanka,1980,female,15-24,831.0,1515000.0,54.85148514851485
21295,Kazakhstan,1985,male,25-34,726.0,1323900.0,54.83797869929753
13532,Estonia,1988,male,35-54,105.0,191500.0,54.83028720626632
31498,Republic of Korea,1998,male,55-74,1398.0,2550700.0,54.80848394558356
18584,Hungary,2011,male,35-54,751.0,1370341.0,54.80387728309961
21403,Kazakhstan,1994,male,25-34,735.0,1342400.0,54.75268176400477
37234,Sri Lanka,2006,male,55-74,649.0,1187973.0,54.63087124033964
22723,Latvia,1991,male,25-34,110.0,201700.0,54.53644025780863
18199,Hungary,1979,male,25-34,457.0,838600.0,54.495587884569524
33186,Russian Federation,1999,male,15-24,6120.0,11232900.0,54.482813877093186
22702,Latvia,1989,male,55-74,101.0,185400.0,54.47680690399137
21632,Kazakhstan,2013,male,35-54,1142.0,2098964.0,54.40779355910821
21539,Kazakhstan,2005,male,75+,61.0,112427.0,54.25742926521209
37054,Sri Lanka,1980,male,55-74,348.0,643000.0,54.12130637636081
13751,Estonia,2006,male,75+,14.0,25870.0,54.11673753382296
23107,Lithuania,1989,male,25-34,161.0,297583.0,54.10255290120739
22979,Latvia,2012,male,75+,25.0,46273.0,54.02718648023686
41288,Ukraine,2006,male,35-54,3420.0,6336363.0,53.9741804565174
41179,Ukraine,1997,male,25-34,1859.0,3444700.0,53.96696374139983
22952,Latvia,2010,male,35-54,153.0,283732.0,53.92412558329691
41300,Ukraine,2007,male,35-54,3392.0,6292640.0,53.90424368786392
13699,Estonia,2002,male,25-34,53.0,98385.0,53.87000050820755
41167,Ukraine,1996,male,25-34,1870.0,3471700.0,53.86410116081459
41110,Ukraine,1991,male,55-74,2075.0,3852600.0,53.859731090691994
18413,Hungary,1997,female,75+,199.0,369640.0,53.83616491721675
33067,Russian Federation,1989,male,25-34,6856.0,12748800.0,53.77761044176707
33150,Russian Federation,1996,male,15-24,5784.0,10772000.0,53.69476420349053
13507,Estonia,1986,male,25-34,64.0,119200.0,53.691275167785236
33138,Russian Federation,1995,male,15-24,5733.0,10678300.0,53.68832117471882
22906,Latvia,2006,male,55-74,102.0,190032.0,53.675170497600405
22690,Latvia,1988,male,55-74,98.0,182600.0,53.669222343921135
41098,Ukraine,1990,male,55-74,2003.0,3733600.0,53.647953717591605
13736,Estonia,2005,male,35-54,97.0,181315.0,53.49805586961917
13555,Estonia,1990,male,25-34,63.0,117857.0,53.45461024801243
21611,Kazakhstan,2011,male,75+,64.0,119954.0,53.353785617820165
21356,Kazakhstan,1990,male,35-54,925.0,1735100.0,53.3110483545617
31673,Republic of Korea,2013,female,75+,816.0,1531049.0,53.296791938076446
41191,Ukraine,1998,male,25-34,1830.0,3435200.0,53.27200745225897
22819,Latvia,1999,male,25-34,94.0,176600.0,53.22763306908267
33162,Russian Federation,1997,male,15-24,5780.0,10874000.0,53.15431304027957
37088,Sri Lanka,1983,male,35-54,760.0,1430000.0,53.14685314685315
22843,Latvia,2001,male,25-34,85.0,160466.0,52.97072276993257
33310,Russian Federation,2009,male,55-74,5637.0,10645241.0,52.9532398561949
41086,Ukraine,1989,male,55-74,1948.0,3678800.0,52.95204958138524
41062,Ukraine,1987,male,55-74,1934.0,3652600.0,52.94858456989541
23419,Lithuania,2015,male,25-34,101.0,190800.0,52.935010482180296
22966,Latvia,2011,male,55-74,99.0,187046.0,52.92815671011409
23083,Lithuania,1987,male,25-34,150.0,283500.0,52.91005291005291
18220,Hungary,1981,female,55-74,603.0,1142500.0,52.77899343544858
21334,Kazakhstan,1988,male,55-74,355.0,673000.0,52.74888558692422
41290,Ukraine,2006,male,55-74,1993.0,3782567.0,52.689086538321725
13739,Estonia,2005,male,75+,13.0,24740.0,52.54648342764753
18232,Hungary,1982,female,55-74,602.0,1146100.0,52.52595759532327
37066,Sri Lanka,1981,male,55-74,344.0,655000.0,52.51908396946565
22891,Latvia,2005,male,25-34,81.0,154334.0,52.483574584991
41155,Ukraine,1995,male,25-34,1854.0,3534800.0,52.449926445626346
41203,Ukraine,1999,male,25-34,1800.0,3434800.0,52.404797950390126
36334,Slovenia,2013,male,55-74,121.0,231859.0,52.18688944574073
13567,Estonia,1991,male,25-34,60.0,115020.0,52.164840897235266
33320,Russian Federation,2010,male,35-54,10304.0,19786280.0,52.07648936535822
37146,Sri Lanka,1997,male,15-24,924.0,1779781.0,51.91649983902514
33174,Russian Federation,1998,male,15-24,5729.0,11040600.0,51.89029581725631
23238,Lithuania,2000,male,15-24,131.0,252489.0,51.88344838785056
33331,Russian Federation,2011,male,25-34,6011.0,11598196.0,51.8270255132781
36322,Slovenia,2012,male,55-74,118.0,227915.0,51.773687558958386
22978,Latvia,2012,male,55-74,97.0,187386.0,51.76480633558537
21619,Kazakhstan,2012,male,25-34,716.0,1384736.0,51.70660689113304
36227,Slovenia,2004,male,75+,19.0,36793.0,51.640257657706634
21620,Kazakhstan,2012,male,35-54,1074.0,2082135.0,51.58166977645542
22688,Latvia,1988,male,35-54,169.0,327800.0,51.55582672361196
21380,Kazakhstan,1992,male,35-54,925.0,1794700.0,51.54064746197136
21608,Kazakhstan,2011,male,35-54,1062.0,2062451.0,51.49213241914595
21587,Kazakhstan,2009,male,75+,60.0,116533.0,51.4875614632765
21631,Kazakhstan,2013,male,25-34,733.0,1425587.0,51.4174161240247
18449,Hungary,2000,female,75+,199.0,387228.0,51.39091181422831
36224,Slovenia,2004,male,35-54,162.0,315288.0,51.38159397122631
37195,Sri Lanka,2001,male,25-34,755.0,1469938.0,51.36271053609064
23226,Lithuania,1999,male,15-24,129.0,251394.0,51.313873839471114
22831,Latvia,2000,male,25-34,83.0,161888.0,51.270013836726626
22613,Latvia,1982,female,75+,47.0,91700.0,51.25408942202835
21644,Kazakhstan,2014,male,35-54,1082.0,2116035.0,51.133369722145424
18196,Hungary,1979,female,55-74,568.0,1116700.0,50.86415330885645
23178,Lithuania,1995,male,15-24,134.0,263792.0,50.79759810759993
36248,Slovenia,2006,male,35-54,159.0,313755.0,50.676483243294925
41302,Ukraine,2007,male,55-74,1922.0,3792721.0,50.67601861565878
37232,Sri Lanka,2006,male,35-54,1246.0,2465505.0,50.53731385659327
23095,Lithuania,1988,male,25-34,147.0,291400.0,50.44612216884008
41215,Ukraine,2000,male,25-34,1740.0,3450300.0,50.430397356751584
21358,Kazakhstan,1990,male,55-74,356.0,706400.0,50.39637599093998
41324,Ukraine,2009,male,35-54,3133.0,6221337.0,50.35895017421497
21310,Kazakhstan,1986,male,55-74,324.0,643500.0,50.349650349650354
41239,Ukraine,2002,male,25-34,1660.0,3300031.0,50.30255776385131
18367,Hungary,1993,male,25-34,326.0,650343.0,50.12739431346228
21322,Kazakhstan,1987,male,55-74,331.0,660700.0,50.09838050552444
33234,Russian Federation,2003,male,15-24,6134.0,12256012.0,50.04890661007838
36358,Slovenia,2015,male,55-74,120.0,239919.0,50.016880697235315
21574,Kazakhstan,2008,male,55-74,383.0,766809.0,49.94724892378676
41060,Ukraine,1987,male,35-54,3093.0,6206800.0,49.83244183798415
22651,Latvia,1985,male,25-34,96.0,193300.0,49.66373512674599
21522,Kazakhstan,2004,male,15-24,735.0,1480125.0,49.65796807702052
23407,Lithuania,2014,male,25-34,94.0,189300.0,49.65662968832541
21382,Kazakhstan,1992,male,55-74,390.0,785400.0,49.65622612681436
23119,Lithuania,1990,male,25-34,149.0,300256.0,49.62432057977193
13762,Estonia,2007,male,55-74,58.0,117125.0,49.51974386339381
22895,Latvia,2005,male,75+,19.0,38514.0,49.33271018330997
23014,Latvia,2015,male,55-74,94.0,190621.0,49.31251016414771
22663,Latvia,1986,male,25-34,97.0,196900.0,49.263585576434735
33126,Russian Federation,1994,male,15-24,5177.0,10518500.0,49.218044397965485
13625,Estonia,1996,female,75+,25.0,50849.0,49.165175323015205
36298,Slovenia,2010,male,55-74,107.0,217743.0,49.140500498293854
22964,Latvia,2011,male,35-54,137.0,278936.0,49.11520922362119
23002,Latvia,2014,male,55-74,93.0,189439.0,49.09231995523625
41251,Ukraine,2003,male,25-34,1628.0,3316494.0,49.08798267085663
41326,Ukraine,2009,male,55-74,1882.0,3841612.0,48.989851135408784
13784,Estonia,2009,male,35-54,88.0,179820.0,48.937826715604494
21368,Kazakhstan,1991,male,35-54,866.0,1769600.0,48.937613019891494
31652,Republic of Korea,2011,male,35-54,4255.0,8696946.0,48.92522041645424
18596,Hungary,2012,male,35-54,683.0,1396201.0,48.9184580157155
22990,Latvia,2013,male,55-74,92.0,188374.0,48.83901175321435
22927,Latvia,2008,male,25-34,74.0,151948.0,48.70087135072525
41314,Ukraine,2008,male,55-74,1854.0,3810278.0,48.65786695878883
33343,Russian Federation,2012,male,25-34,5762.0,11845892.0,48.64133490327279
41143,Ukraine,1994,male,25-34,1763.0,3626300.0,48.61704767945289
22916,Latvia,2007,male,35-54,143.0,294462.0,48.56314227302674
18437,Hungary,1999,female,75+,184.0,378946.0,48.5557308956949
41312,Ukraine,2008,male,35-54,3027.0,6254054.0,48.400605431293044
21486,Kazakhstan,2001,male,15-24,660.0,1365580.0,48.331112054951014
33355,Russian Federation,2013,male,25-34,5825.0,12057910.0,48.30853771507666
36236,Slovenia,2005,male,35-54,152.0,314730.0,48.29536428049439
41074,Ukraine,1988,male,55-74,1773.0,3672700.0,48.27511095379422
18425,Hungary,1998,female,75+,185.0,384001.0,48.17695787250554
13579,Estonia,1992,male,25-34,53.0,110029.0,48.16911905043216
41011,Ukraine,1982,male,25-34,1789.0,3722100.0,48.06426479675452
33055,Russian Federation,1988,male,25-34,6191.0,12893300.0,48.017187221269964
21598,Kazakhstan,2010,male,55-74,389.0,810461.0,47.99737433386678
13822,Estonia,2012,male,55-74,59.0,122960.0,47.98308392973325
13750,Estonia,2006,male,55-74,56.0,116790.0,47.949310728658276
21586,Kazakhstan,2009,male,55-74,380.0,792505.0,47.94922429511486
40999,Ukraine,1981,male,25-34,1736.0,3622500.0,47.92270531400966
36031,Slovenia,1988,male,25-34,78.0,162800.0,47.91154791154791
37116,Sri Lanka,1986,female,15-24,804.0,1680400.0,47.84575101166389
36103,Slovenia,1994,male,25-34,72.0,150600.0,47.808764940239044
33332,Russian Federation,2011,male,35-54,9411.0,19684905.0,47.80820633881647
21370,Kazakhstan,1991,male,55-74,354.0,741600.0,47.73462783171521
23274,Lithuania,2003,male,15-24,122.0,255707.0,47.7108565663044
41072,Ukraine,1988,male,35-54,3002.0,6294000.0,47.6962186209088
31534,Republic of Korea,2001,male,55-74,1331.0,2796018.0,47.60341313968651
21379,Kazakhstan,1992,male,25-34,676.0,1421100.0,47.56878474421223
31463,Republic of Korea,1995,male,75+,126.0,265000.0,47.54716981132076
31676,Republic of Korea,2013,male,35-54,4112.0,8662051.0,47.47143603749274
33246,Russian Federation,2004,male,15-24,5891.0,12425537.0,47.410425802925054
18208,Hungary,1980,female,55-74,537.0,1133800.0,47.36285059093315
36043,Slovenia,1989,male,25-34,76.0,160500.0,47.35202492211838
41048,Ukraine,1986,male,35-54,2910.0,6147000.0,47.34016593460225
31688,Republic of Korea,2014,male,35-54,4085.0,8631486.0,47.32672914026623
36139,Slovenia,1997,male,25-34,69.0,145900.0,47.292666209732694
36079,Slovenia,1992,male,25-34,73.0,154400.0,47.27979274611399
22988,Latvia,2013,male,35-54,128.0,270844.0,47.25967715733042
41338,Ukraine,2010,male,55-74,1827.0,3866232.0,47.25531214888294
23394,Lithuania,2013,male,15-24,96.0,203647.0,47.140394899016435
36007,Slovenia,1986,male,25-34,79.0,167600.0,47.13603818615752
21647,Kazakhstan,2014,male,75+,70.0,148578.0,47.11330075785109
23334,Lithuania,2008,male,15-24,114.0,242106.0,47.086813214046735
21308,Kazakhstan,1986,male,35-54,722.0,1533600.0,47.07876890975482
41227,Ukraine,2001,male,25-34,1633.0,3474267.0,47.00272028603444
23166,Lithuania,1994,male,15-24,127.0,270294.0,46.98587464020659
23250,Lithuania,2001,male,15-24,119.0,253439.0,46.95409940853617
31628,Republic of Korea,2009,male,35-54,4048.0,8621339.0,46.95326329239576
41050,Ukraine,1986,male,55-74,1687.0,3594600.0,46.93150837367162
13662,Estonia,1999,male,15-24,47.0,100216.0,46.89869881056917
13834,Estonia,2013,male,55-74,58.0,123698.0,46.88838946466394
13810,Estonia,2011,male,55-74,57.0,121737.0,46.82224796076788
31640,Republic of Korea,2010,male,35-54,4050.0,8681362.0,46.651665948269404
18634,Hungary,2015,male,55-74,496.0,1065443.0,46.55340548485466
36346,Slovenia,2014,male,55-74,110.0,236325.0,46.546070030678095
36274,Slovenia,2008,male,55-74,96.0,206257.0,46.543874874549715
33258,Russian Federation,2005,male,15-24,5750.0,12357989.0,46.52860590829139
21438,Kazakhstan,1997,male,15-24,651.0,1401300.0,46.45686148576322
33322,Russian Federation,2010,male,55-74,5178.0,11174530.0,46.33751934085819
36077,Slovenia,1992,female,75+,27.0,58400.0,46.23287671232877
18244,Hungary,1983,female,55-74,530.0,1147300.0,46.1954153229321
21623,Kazakhstan,2012,male,75+,60.0,129890.0,46.19293248133036
13787,Estonia,2009,male,75+,13.0,28150.0,46.18117229129663
31451,Republic of Korea,1994,male,75+,105.0,227600.0,46.13356766256591
18379,Hungary,1994,male,25-34,302.0,654647.0,46.131732063234075
21659,Kazakhstan,2015,male,75+,72.0,156393.0,46.037866144904186
41336,Ukraine,2010,male,35-54,2853.0,6203439.0,45.990619074355365
23346,Lithuania,2009,male,15-24,109.0,237032.0,45.98535218873401
23154,Lithuania,1993,male,15-24,126.0,274804.0,45.85086097727835
22867,Latvia,2003,male,25-34,72.0,157209.0,45.79890464286396
21643,Kazakhstan,2014,male,25-34,667.0,1462224.0,45.615446060247955
37076,Sri Lanka,1982,male,35-54,643.0,1410000.0,45.60283687943262
31510,Republic of Korea,1999,male,55-74,1201.0,2634700.0,45.58393745018408
21474,Kazakhstan,2000,male,15-24,623.0,1366874.0,45.57845126910015
41362,Ukraine,2012,male,55-74,1768.0,3880830.0,45.55726481190879
21320,Kazakhstan,1987,male,35-54,718.0,1576900.0,45.53237364449236
41131,Ukraine,1993,male,25-34,1691.0,3714200.0,45.52797372247051
41350,Ukraine,2011,male,55-74,1761.0,3877753.0,45.41289762395903
41299,Ukraine,2007,male,25-34,1546.0,3414696.0,45.27489416334573
23286,Lithuania,2004,male,15-24,115.0,254022.0,45.27166938296683
33356,Russian Federation,2013,male,35-54,8815.0,19484117.0,45.24197837654126
21426,Kazakhstan,1996,male,15-24,635.0,1405800.0,45.170009958742355
21656,Kazakhstan,2015,male,35-54,962.0,2130654.0,45.150456151022176
18292,Hungary,1987,female,55-74,517.0,1145200.0,45.14495284666434
13543,Estonia,1989,male,25-34,54.0,119624.0,45.141443188657796
21462,Kazakhstan,1999,male,15-24,609.0,1349400.0,45.13116940862606
22918,Latvia,2007,male,55-74,85.0,188774.0,45.027387246124995
21510,Kazakhstan,2003,male,15-24,652.0,1449082.0,44.99400309989359
33043,Russian Federation,1987,male,25-34,5807.0,12907300.0,44.990044393482755
13687,Estonia,2001,male,25-34,44.0,97810.0,44.985175339944796
22625,Latvia,1983,female,75+,42.0,93400.0,44.9678800856531
22939,Latvia,2009,male,25-34,67.0,149365.0,44.85655943494125
21332,Kazakhstan,1988,male,35-54,729.0,1625500.0,44.84773915718241
13798,Estonia,2010,male,55-74,54.0,120465.0,44.82629809488233
13505,Estonia,1986,female,75+,25.0,55800.0,44.80286738351254
22855,Latvia,2002,male,25-34,71.0,158594.0,44.76840233552341
36127,Slovenia,1996,male,25-34,68.0,151900.0,44.76629361421988
21634,Kazakhstan,2013,male,55-74,393.0,878598.0,44.73035449659571
23311,Lithuania,2006,male,25-34,96.0,214726.0,44.7081396756797
33344,Russian Federation,2012,male,35-54,8755.0,19588712.0,44.69410750436271
23214,Lithuania,1998,male,15-24,112.0,250687.0,44.67722698025825
36091,Slovenia,1993,male,25-34,68.0,152400.0,44.61942257217848
23406,Lithuania,2014,male,15-24,88.0,197504.0,44.55605962410888
41263,Ukraine,2004,male,25-34,1489.0,3342201.0,44.55147969855793
22685,Latvia,1988,female,75+,45.0,101500.0,44.334975369458135
33282,Russian Federation,2007,male,15-24,5257.0,11862129.0,44.317508265168925
31685,Republic of Korea,2014,female,75+,721.0,1627234.0,44.30831705827189
18256,Hungary,1984,female,55-74,508.0,1147600.0,44.2662948762635
21450,Kazakhstan,1998,male,15-24,594.0,1343300.0,44.21945953993896
36163,Slovenia,1999,male,25-34,64.0,144800.0,44.19889502762431
36067,Slovenia,1991,male,25-34,69.0,156900.0,43.977055449330784
23071,Lithuania,1986,male,25-34,121.0,275500.0,43.920145190562614
21498,Kazakhstan,2002,male,15-24,621.0,1414530.0,43.901507921359034
41386,Ukraine,2015,male,55-74,1644.0,3747724.0,43.86662411639704
13723,Estonia,2004,male,25-34,43.0,98265.0,43.75922251055818
33367,Russian Federation,2014,male,25-34,5276.0,12057910.0,43.75550986862566
33031,Russian Federation,1986,male,25-34,5613.0,12837000.0,43.725169432110306
33270,Russian Federation,2006,male,15-24,5319.0,12174930.0,43.688136194622885
37219,Sri Lanka,2003,male,25-34,650.0,1488285.0,43.67443063660522
13685,Estonia,2001,female,75+,26.0,59580.0,43.6388049681101
31697,Republic of Korea,2015,female,75+,750.0,1721418.0,43.568732289310326
41275,Ukraine,2005,male,25-34,1467.0,3369930.0,43.532061496826344
18608,Hungary,2013,male,35-54,613.0,1409798.0,43.48140655611655
41360,Ukraine,2012,male,35-54,2680.0,6175567.0,43.39682493931326
37134,Sri Lanka,1996,male,15-24,768.0,1772399.0,43.33110095413053
36187,Slovenia,2001,male,25-34,65.0,150012.0,43.32986694397782
22637,Latvia,1984,female,75+,41.0,94700.0,43.294614572333685
37207,Sri Lanka,2002,male,25-34,639.0,1478000.0,43.234100135318
21622,Kazakhstan,2012,male,55-74,368.0,852033.0,43.19081537921654
21367,Kazakhstan,1991,male,25-34,621.0,1441200.0,43.08909242298085
21610,Kazakhstan,2011,male,55-74,358.0,831202.0,43.07015623157788
41348,Ukraine,2011,male,35-54,2664.0,6194997.0,43.002442131933236
21546,Kazakhstan,2006,male,15-24,657.0,1530192.0,42.93578845007685
31664,Republic of Korea,2012,male,35-54,3732.0,8693747.0,42.927405179837876
41287,Ukraine,2006,male,25-34,1455.0,3390847.0,42.90963290292956
33334,Russian Federation,2011,male,55-74,4892.0,11401026.0,42.90841894404942
13738,Estonia,2005,male,55-74,50.0,116665.0,42.857755110787295
22687,Latvia,1988,male,25-34,87.0,203000.0,42.85714285714286
33306,Russian Federation,2009,male,15-24,4632.0,10819693.0,42.810826517905824
31700,Republic of Korea,2015,male,35-54,3678.0,8593620.0,42.799192889608804
36320,Slovenia,2012,male,35-54,134.0,313295.0,42.77119009240492
33294,Russian Federation,2008,male,15-24,4863.0,11377099.0,42.74376095347329
21414,Kazakhstan,1995,male,15-24,622.0,1455600.0,42.731519648255016
21570,Kazakhstan,2008,male,15-24,657.0,1540282.0,42.654526898321215
41323,Ukraine,2009,male,25-34,1504.0,3534883.0,42.54737709847822
23000,Latvia,2014,male,35-54,113.0,266548.0,42.39386527004517
37170,Sri Lanka,1999,male,15-24,765.0,1805721.0,42.365348799731514
36284,Slovenia,2009,male,35-54,134.0,316752.0,42.304389553972825
33114,Russian Federation,1993,male,15-24,4347.0,10306400.0,42.177676007141194
41119,Ukraine,1992,male,25-34,1589.0,3768500.0,42.16531776568927
36055,Slovenia,1990,male,25-34,67.0,159000.0,42.13836477987421
